,noun_phrase,postid,type_of_narr
3043,my beliefs,29,Becoming
3044,me,29,Becoming
3045,I,29,Becoming
3046,I,29,Becoming
3047,"a ""real"" Mexican",29,Becoming
3048,I,29,Becoming
3049,a race traitor,29,Becoming
3050,I,29,Becoming
3051,a Nazi,29,Becoming
3052,I,29,Becoming
3053,Heaven,29,Becoming
3054,me,29,Becoming
3055,I,29,Becoming
3056,Christian,29,Becoming
3057,Pun,29,Becoming
3058,the beautiful passionate blood,29,Becoming
3059,my veins,29,Becoming
3060,I,29,Becoming
3061,I,29,Becoming
3062,It,29,Becoming
3063,the very nature,29,Becoming
3064,my fiery blood,29,Becoming
3065,me,29,Becoming
3066,no one,29,Becoming
3067,no politician,29,Becoming
3068,no group,29,Becoming
3069,what,29,Becoming
3070,I,29,Becoming
3071,what,29,Becoming
3072,me,29,Becoming
3073,ME,29,Becoming
3074,It,29,Becoming
3075,my very blood,29,Becoming
3076,me,29,Becoming
3077,judge,29,Becoming
3078,myself,29,Becoming
3079,my country,29,Becoming
3080,I,29,Becoming
3081,anyone,29,Becoming
3082,the end,29,Becoming
3083,disservice,29,Becoming
3084,it,29,Becoming
3085,them,29,Becoming
3086,fact,29,Becoming
3087,I,29,Becoming
3088,I,29,Becoming
3089,I,29,Becoming
3090,this race,29,Becoming
3091,I,29,Becoming
3092,I,30,NA
3093,tears,30,NA
3094,this group,30,NA
3095,my life,30,NA
3096,one day,30,NA
3097,I,30,NA
3098,a moment,30,NA
3099,I,30,NA
3100,depression,30,NA
3101,anxiety,30,NA
3102,I,30,NA
3103,a dark place,30,NA
3104,this amazing group,30,NA
3105,I,30,NA
3106,a big smile,30,NA
3107,my face,30,NA
3108,I,30,NA
3109,you,30,NA
3110,guys,30,NA
3111,My personal FB page,30,NA
3112,the liberals,30,NA
3113,me,30,NA
3114,I,30,NA
3115,They,30,NA
3116,nothing,30,NA
3117,me,30,NA
3118,This group,30,NA
3119,the best group,30,NA
3120,FB,30,NA
3121,you,30,NA
3122,Brandon,30,NA
3123,this amazing campaign,30,NA
3124,I,30,NA
3125,you,30,NA
3126,I,30,NA
3127,I,30,NA
3128,My Walk,30,NA
3129,Fam Bam,30,NA
3130,I,31,Becoming
3131,a democrat,31,Becoming
3132,I,31,Becoming
3133,one time,31,Becoming
3134,my adolescent years,31,Becoming
3135,I,31,Becoming
3136,myself,31,Becoming
3137,I,31,Becoming
3138,I,31,Becoming
3139,I,31,Becoming
3140,I,31,Becoming
3141,Portland Oregon,31,Becoming
3142,it,31,Becoming
3143,liberal land,31,Becoming
3144,the last few years,31,Becoming
3145,I,31,Becoming
3146,the liberal city,31,Becoming
3147,total alt leftists,31,Becoming
3148,It,31,Becoming
3149,the city,31,Becoming
3150,The liberals,31,Becoming
3151,laws,31,Becoming
3152,the increasing homeless population,31,Becoming
3153,a huge heroine epidemic,31,Becoming
3154,What,31,Becoming
3155,a beautiful city,31,Becoming
3156,trash,31,Becoming
3157,needles,31,Becoming
3158,views,31,Becoming
3159,people,31,Becoming
3160,shits,31,Becoming
3161,the side,31,Becoming
3162,the road,31,Becoming
3163,broad daylight,31,Becoming
3164,I,31,Becoming
3165,the loose law liberal judges,31,Becoming
3166,children,31,Becoming
3167,incompetent mothers,31,Becoming
3168,who,31,Becoming
3169,the law,31,Becoming
3170,their lives,31,Becoming
3171,turn,31,Becoming
3172,they,31,Becoming
3173,We,31,Becoming
3174,our freeways,31,Becoming
3175,protestors,31,Becoming
3176,My cousin,31,Becoming
3177,who,31,Becoming
3178,downtown,31,Becoming
3179,work,31,Becoming
3180,times,31,Becoming
3181,money,31,Becoming
3182,protests,31,Becoming
3183,The protestors,31,Becoming
3184,businesses,31,Becoming
3185,I,31,Becoming
3186,the kids,31,Becoming
3187,I,31,Becoming
3188,zero accountability,31,Becoming
3189,themselves,31,Becoming
3190,Rich kids,31,Becoming
3191,who,31,Becoming
3192,the world,31,Becoming
3193,them,31,Becoming
3194,the worlds indecencies,31,Becoming
3195,their high horses,31,Becoming
3196,anything,31,Becoming
3197,a difference,31,Becoming
3198,them,31,Becoming
3199,their parents,31,Becoming
3200,Portland,31,Becoming
3201,a city,31,Becoming
3202,a very deep racist history,31,Becoming
3203,I,31,Becoming
3204,life,31,Becoming
3205,It,31,Becoming
3206,no surprise,31,Becoming
3207,me,31,Becoming
3208,they,31,Becoming
3209,a result,31,Becoming
3210,the deep rooted racist history,31,Becoming
3211,the Democratic Party,31,Becoming
3212,they,31,Becoming
3213,promises,31,Becoming
3214,minorities,31,Becoming
3215,them,31,Becoming
3216,victims,31,Becoming
3217,them,31,Becoming
3218,them,31,Becoming
3219,My husband,31,Becoming
3220,I,31,Becoming
3221,this ideology,31,Becoming
3222,the many reasons,31,Becoming
3223,we,31,Becoming
3224,the state,31,Becoming
3225,Arizona,31,Becoming
3226,My husband,31,Becoming
3227,I,31,Becoming
3228,members,31,Becoming
3229,our families,31,Becoming
3230,who,31,Becoming
3231,a victim mentality,31,Becoming
3232,We,31,Becoming
3233,a strong work ethic,31,Becoming
3234,it,31,Becoming
3235,victims,31,Becoming
3236,ourselves,31,Becoming
3237,our spoiled friends,31,Becoming
3238,who,31,Becoming
3239,real issues,31,Becoming
3240,government handouts,31,Becoming
3241,we,31,Becoming
3242,We,31,Becoming
3243,other people’s use,31,Becoming
3244,drugs,31,Becoming
3245,alcohol,31,Becoming
3246,victims,31,Becoming
3247,We,31,Becoming
3248,this state,31,Becoming
3249,mind,31,Becoming
3250,our drive,31,Becoming
3251,work ethic,31,Becoming
3252,success,31,Becoming
3253,I,31,Becoming
3254,myself,31,Becoming
3255,the political spectrum,31,Becoming
3256,the hatefulness,31,Becoming
3257,the left,31,Becoming
3258,trump,31,Becoming
3259,office,31,Becoming
3260,I,31,Becoming
3261,the left mentality,31,Becoming
3262,Conservatives,31,Becoming
3263,the left,31,Becoming
3264,their true colors,31,Becoming
3265,the time,31,Becoming
3266,I,31,Becoming
3267,a kid,31,Becoming
3268,reasons,31,Becoming
3269,I,31,Becoming
3270,I,31,Becoming
3271,the pledge,31,Becoming
3272,allegiance,31,Becoming
3273,I,31,Becoming
3274,I,31,Becoming
3275,I,31,Becoming
3276,a huge patriot,31,Becoming
3277,I,31,Becoming
3278,this country,31,Becoming
3279,I,31,Becoming
3280,it,31,Becoming
3281,The fact,31,Becoming
3282,people,31,Becoming
3283,the nerve,31,Becoming
3284,our hardships,31,Becoming
3285,these suffering countries,31,Becoming
3286,me,31,Becoming
3287,The fact,31,Becoming
3288,people,31,Becoming
3289,it,31,Becoming
3290,an option,31,Becoming
3291,this great place,31,Becoming
3292,we,31,Becoming
3293,anything,31,Becoming
3294,we,31,Becoming
3295,Americans,31,Becoming
3296,I,31,Becoming
3297,a party,31,Becoming
3298,who,31,Becoming
3299,the men,31,Becoming
3300,women,31,Becoming
3301,who,31,Becoming
3302,us,31,Becoming
3303,our freedoms,31,Becoming
3304,God,31,Becoming
3305,America,31,Becoming
3306,everyone,31,Becoming
3307,it,31,Becoming
3308,I,32,Being
3309,this movement,32,Being
3310,it,32,Being
3311,less than 20k members,32,Being
3312,I,32,Being
3313,myself,32,Being
3314,I,32,Being
3315,a Navy vet,32,Being
3316,I,32,Being
3317,the Reagan years,32,Being
3318,the resent series,32,Being
3319,Military Actions,32,Being
3320,the Middle East,32,Being
3321,I,32,Being
3322,my adult life,32,Being
3323,"a ""Jeffersonian Liberal",32,Being
3324,I,32,Being
3325,study,32,Being
3326,History,32,Being
3327,a hobby,32,Being
3328,Historical table top games,32,Being
3329,miniature American Civil War,32,Being
3330,Napoleonic pewter figurines,32,Being
3331,a Jeffersonian Liberal,32,Being
3332,I,32,Being
3333,the Libertarian Party,32,Being
3334,I,32,Being
3335,the Person,32,Being
3336,not the Party,32,Being
3337,I,32,Being
3338,a Small Government,32,Being
3339,Fiscal Conservative,32,Being
3340,Social Liberal,32,Being
3341,I,32,Being
3342,"the typical ""Two Party"" mold",32,Being
3343,I,32,Being
3344,the lessons,32,Being
3345,History,32,Being
3346,me,32,Being
3347,I,32,Being
3348,you,32,Being
3349,a Species,32,Being
3350,we,32,Being
3351,this road,32,Being
3352,no Right Way,32,Being
3353,Communism,32,Being
3354,It,32,Being
3355,Human Nature,32,Being
3356,We,32,Being
3357,the consequences,32,Being
3358,our current reality,32,Being
3359,a Fantasy Utopia,32,Being
3360,I,32,Being
3361,the sidelines,32,Being
3362,History,32,Being
3363,I,32,Being
3364,Love,32,Being
3365,Civility,32,Being
3366,Compromise,32,Being
3367,I,33,Becoming
3368,a job site,33,Becoming
3369,I,33,Becoming
3370,I,33,Becoming
3371,I,33,Becoming
3372,I,33,Becoming
3373,the whole race,33,Becoming
3374,the White House,33,Becoming
3375,The supervisor,33,Becoming
3376,the job site,33,Becoming
3377,this Hispanic guy,33,Becoming
3378,me,33,Becoming
3379,I,33,Becoming
3380,Hillary Clinton,33,Becoming
3381,Trump,33,Becoming
3382,me,33,Becoming
3383,it,33,Becoming
3384,this world,33,Becoming
3385,I,33,Becoming
3386,the bad hair,33,Becoming
3387,No way,33,Becoming
3388,He,33,Becoming
3389,I,33,Becoming
3390,him,33,Becoming
3391,I,33,Becoming
3392,this a**hole,33,Becoming
3393,God,33,Becoming
3394,I,33,Becoming
3395,I,33,Becoming
3396,The media's dishonesty,33,Becoming
3397,Chuck Schumer,33,Becoming
3398,Trump,33,Becoming
3399,the intelligence community,33,Becoming
3400,the fake stories,33,Becoming
3401,anything,33,Becoming
3402,Trump,33,Becoming
3403,I,33,Becoming
3404,what,33,Becoming
3405,I,33,Becoming
3406,A literal Orwellian display,33,Becoming
3407,the deep state,33,Becoming
3408,my eyes,33,Becoming
3409,I,33,Becoming
3410,an Obama guy,33,Becoming
3411,My mom,33,Becoming
3412,I,33,Becoming
3413,I,33,Becoming
3414,my party,33,Becoming
3415,I,33,Becoming
3416,a proud Conservative,33,Becoming
3417,I,33,Becoming
3418,proof,33,Becoming
3419,Conservatives,33,Becoming
3420,I,33,Becoming
3421,biracial black/Asian heritage,33,Becoming
3422,My wife,33,Becoming
3423,who,33,Becoming
3424,I,33,Becoming
3425,everything,33,Becoming
3426,the dishonesty libs,33,Becoming
3427,I,33,Becoming
3428,my life,33,Becoming
3429,you,33,Becoming
3430,God,33,Becoming
3431,President Trump,33,Becoming
3432,America,33,Becoming
3433,My name,34,NA
3434,Billy,34,NA
3435,I,34,NA
3436,a gay drag queen,34,NA
3437,southern CA,34,NA
3438,I,34,NA
3439,I,34,NA
3440,drag superstars,34,NA
3441,hate,34,NA
3442,racism,34,NA
3443,stage,34,NA
3444,stage,34,NA
3445,the N word,34,NA
3446,Mexicans,34,NA
3447,I,34,NA
3448,the media,34,NA
3449,My own community,34,NA
3450,my black husband,34,NA
3451,They,34,NA
3452,me,34,NA
3453,They,34,NA
3454,I,35,Becoming
3455,Dem,35,Becoming
3456,I,35,Becoming
3457,a Union household,35,Becoming
3458,a Union member,35,Becoming
3459,I,35,Becoming
3460,my husband,35,Becoming
3461,I,35,Becoming
3462,good consciousness vote,35,Becoming
3463,her,35,Becoming
3464,He,35,Becoming
3465,me,35,Becoming
3466,whoever,35,Becoming
3467,you,35,Becoming
3468,I,35,Becoming
3469,her,35,Becoming
3470,we,35,Becoming
3471,the way,35,Becoming
3472,our husbands,35,Becoming
3473,us,35,Becoming
3474,I,35,Becoming
3475,a strong women,35,Becoming
3476,who,35,Becoming
3477,herself,35,Becoming
3478,No one,35,Becoming
3479,me,35,Becoming
3480,who,35,Becoming
3481,a former Dem,35,Becoming
3482,I,35,Becoming
3483,what,35,Becoming
3484,this party,35,Becoming
3485,Liars,35,Becoming
3486,thieves,35,Becoming
