,nvpairs,type
0,"(I, supported, democrats)",Becoming
0,"(I, thought, None)",Becoming
0,"(I, had, None)",Becoming
0,"(None, told, None)",Becoming
0,"(I, feared, Republicans)",Becoming
0,"(I, was, None)",Becoming
0,"(I, was, None)",Becoming
0,"(I, watched, speech)",Becoming
0,"(None, Remember, None)",Becoming
0,"(I, felt, something)",Becoming
0,"(I, felt, None)",Becoming
0,"(I, started, None)",Becoming
0,"(I, found, friends)",Becoming
0,"(I, voted, None)",Becoming
0,"(I, see, lies)",Becoming
0,"(I, have, None)",Becoming
0,"(None, attacked, None)",Becoming
0,"(This, is, None)",Becoming
1,"(It, is, None)",Becoming
1,"(I, registered, None)",Becoming
1,"(I, came, None)",Becoming
1,"(I, remember, None)",Becoming
1,"(I, vote, None)",Becoming
1,"(I, prayed, None)",Becoming
1,"(presidency, did, None)",Becoming
1,"(None, forward, None)",Becoming
1,"(I, agreed, None)",Becoming
1,"(I, voted, None)",Becoming
1,"(I, was, None)",Becoming
1,"(I, believe, None)",Becoming
1,"(intentions, are, None)",Becoming
1,"(hate, sickens, me)",Becoming
1,"(I, had, state)",Becoming
1,"(that, is, None)",Becoming
1,"(I, understand, any)",Becoming
1,"(movement, is, None)",Becoming
1,"(None, add, None)",Becoming
1,"(this, is, None)",Becoming
1,"(I, am, None)",Becoming
1,"(None, mom, None)",Becoming
2,"(I, am, None)",Becoming
2,"(I, voted, None)",Becoming
2,"(I, started, None)",Becoming
2,"(I, had, None)",Becoming
2,"(I, was, None)",Becoming
2,"(I, see, None)",Becoming
2,"(I, started, None)",Becoming
2,"(corruption, became, None)",Becoming
2,"(I, felt, None)",Becoming
2,"(I, knew, None)",Becoming
2,"(I, support, her)",Becoming
2,"(I, was, None)",Becoming
2,"(None, held, None)",Becoming
2,"(Machine, is, None)",Becoming
2,"(I, voted, None)",Becoming
2,"(He, was, None)",Becoming
2,"(I, became, None)",Becoming
2,"(None, attacks, None)",Becoming
2,"(None, attacks, None)",Becoming
2,"(this, is, None)",Becoming
2,"(I, realized, None)",Becoming
2,"(insanity, left, me)",Becoming
2,"(This, is, None)",Becoming
2,"(I, love, None)",Becoming
2,"(corruption, runs, None)",Becoming
2,"(Trump, loves, America)",Becoming
2,"(I, pray, None)",Becoming
2,"(I, know, None)",Becoming
2,"(None, Thank, you)",Becoming
2,"(I, say, None)",Becoming
2,"(I, am, None)",Becoming
2,"(I, love, Country)",Becoming
2,"(None, #, None)",Becoming
2,"(None, WalkAway, None)",Becoming
2,"(I, am, None)",Becoming
3,"(I, became, None)",Becoming
3,"(testimony, is, None)",Becoming
3,"(I, walked, None)",Becoming
3,"(I, am, None)",Becoming
3,"(I, know, None)",Becoming
3,"(I, grew, None)",Becoming
3,"(I, remember, voting)",Becoming
3,"(stepdad, thought, None)",Becoming
3,"(None, but, None)",Becoming
3,"(it, dawned, None)",Becoming
3,"(I, married, Republican)",Becoming
3,"(I, was, None)",Becoming
3,"(I, voted, None)",Becoming
3,"(I, thought, None)",Becoming
3,"(I, was, None)",Becoming
3,"(Obama, won, None)",Becoming
3,"(Trump, been, None)",Becoming
3,"(None, was, None)",Becoming
3,"(This, is, None)",Becoming
3,"(I, worry, None)",Becoming
3,"(it, ’s, None)",Becoming
3,"(I, love, country)",Becoming
3,"(I, thank, God)",Becoming
3,"(I, have, voice)",Becoming
3,"(None, Bot, None)",Becoming
4,"(I, going, None)",Becoming
4,"(I, know, None)",Becoming
4,"(I, am, None)",Becoming
4,"(I, decided, None)",Becoming
4,"(None, Wow, None)",Becoming
